username,password,role,assigned_district,assigned_chiefdom,access_level,monitor_role,landing_page,allowed_pages,region,district,chiefdom,health_facility,community,full_name,telephone
whm001,12345,warehouse,Kailahun,Dea,district,whm,recon.html,"recon.html,stock.html",Eastern Province,Kailahun,Dea,Dea MCHP,Kailahun Town,Francis Johnson,077218196
whm002,12345,warehouse,Kenema,Dama,district,whm,recon.html,"recon.html,stock.html",Eastern Province,Kenema,Dama,Dama MCHP,Kenema City,David Williams,033908386
whm003,12345,warehouse,Kono,Fiama,district,whm,recon.html,"recon.html,stock.html",Eastern Province,Kono,Fiama,Fiama CHP,Koidu Town,Francis Kamara,077654235
whm004,12345,warehouse,Bombali,Biriwa,district,whm,recon.html,"recon.html,stock.html",Northern Province,Bombali,Biriwa,Biriwa MCHP,Rogbom,Saidu Foday,078940781
whm005,12345,warehouse,Falaba,Wara Wara Zagala,district,whm,recon.html,"recon.html,stock.html",Northern Province,Falaba,Wara Wara Zagala,Wara Wara Zagala Community Hospital,Foindu,Abdul Dumbuya,078931034
whm006,12345,warehouse,Koinadugu,Dansogoia,district,whm,recon.html,"recon.html,stock.html",Northern Province,Koinadugu,Dansogoia,Dansogoia MCHP,Kabala,Yabom Bockarie,078752553
whm007,12345,warehouse,Tonkolili,Gbonkolenken,district,whm,recon.html,"recon.html,stock.html",Northern Province,Tonkolili,Gbonkolenken,Gbonkolenken CHC,Mile 91,Aminata Mansaray,030283276
whm008,12345,warehouse,Kambia,Dixon,district,whm,recon.html,"recon.html,stock.html",North West Province,Kambia,Dixon,Dixon CHC,Kambia Town,Cecilia Williams,030503056
whm009,12345,warehouse,Karene,Sambaia,district,whm,recon.html,"recon.html,stock.html",North West Province,Karene,Sambaia,Sambaia CHC,Karene Town,Martin Tarawally,077767242
whm010,12345,warehouse,Port Loko,Bureh,district,whm,recon.html,"recon.html,stock.html",North West Province,Port Loko,Bureh,Bureh CHP,Port Loko Town,Victoria Cole,030969653
whm011,12345,warehouse,Bo,Badjia,district,whm,recon.html,"recon.html,stock.html",Southern Province,Bo,Badjia,Badjia CHP,Bo Town,Kadiatu Fofanah,076226916
whm012,12345,warehouse,Bonthe,Bendu,district,whm,recon.html,"recon.html,stock.html",Southern Province,Bonthe,Bendu,Bendu Community Hospital,Bonthe Town,Joyce Bangura,078801845
whm013,12345,warehouse,Moyamba,Bagruwa,district,whm,recon.html,"recon.html,stock.html",Southern Province,Moyamba,Bagruwa,Bagruwa MCHP,Moyamba Town,Alpha Sankoh,076482814
whm014,12345,warehouse,Pujehun,Barri,district,whm,recon.html,"recon.html,stock.html",Southern Province,Pujehun,Barri,Barri CHP,Pujehun Town,Alpha Fofanah,033095701
whm015,12345,warehouse,Western Area Rural,Waterloo,district,whm,recon.html,"recon.html,stock.html",Western Area,Western Area Rural,Waterloo,Waterloo CHC,Waterloo,Jenneh Johnson,076391171
whm016,12345,warehouse,Western Area Urban,Waterloo,district,whm,recon.html,"recon.html,stock.html",Western Area,Western Area Urban,Waterloo,Waterloo CHP,Freetown,Andrew Turay,077489638
reg001,12345,registrar,Kailahun,Dea,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kailahun,Dea,Dea CHP,Kailahun Town,Ya Lahai,079871331
reg002,12345,registrar,Kailahun,Jawei,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kailahun,Jawei,Jawei CHC,Pendembu,Christopher Williams,033301031
reg003,12345,registrar,Kailahun,Kissi Kama,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kailahun,Kissi Kama,Kissi Kama MCHP,Koindu,Aminata Sesay,077473829
reg004,12345,registrar,Kailahun,Kissi Teng,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kailahun,Kissi Teng,Kissi Teng Community Hospital,Mobai,Andrew Kowa,077116566
reg005,12345,registrar,Kenema,Dama,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kenema,Dama,Dama Community Hospital,Kenema City,Hawa Koroma,076651333
reg006,12345,registrar,Kenema,Dodo,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kenema,Dodo,Dodo Community Hospital,Tongo,Samuel Davies,079317810
reg007,12345,registrar,Kenema,Gorama Kono,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kenema,Gorama Kono,Gorama Kono MCHP,Koidu,Rebecca Kargbo,079773602
reg008,12345,registrar,Kenema,Kandu Leppiama,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kenema,Kandu Leppiama,Kandu Leppiama Community Hospital,Segbwema,Musa Cole,079468723
reg009,12345,registrar,Kono,Fiama,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kono,Fiama,Fiama CHC,Koidu Town,Sahr Koroma,030805009
reg010,12345,registrar,Kono,Gbane,chiefdom,registrar,regform.html,"regform.html",Eastern Province,Kono,Gbane,Gbane Community Hospital,Tombodu,Grace Kargbo,076812191
